X,Y,Value
110,102,-0.120
110,103,-0.190
111,103,-0.190
112,103,-0.320
113,103,-0.170
114,103,-0.180
115,103,-0.180
116,103,-0.090
117,103,-0.150
118,103,-0.230
119,103,-0.290
109,104,-0.180
110,104,-0.370
111,104,-0.250
112,104,-0.140
113,104,-1.270
114,104,-0.180
115,104,-0.200
116,104,-0.210
117,104,-0.170
118,104,-0.240
119,104,-0.140
120,104,-0.250
121,104,-0.180
122,104,-0.240
123,104,-0.090
124,104,0.740
125,104,-0.320
126,104,1.640
127,104,-0.250
128,104,0.720
129,104,-0.050
109,105,-0.340
110,105,-0.180
111,105,-0.130
112,105,-0.290
113,105,-0.320
114,105,-0.240
115,105,-0.300
116,105,-0.250
117,105,0.880
118,105,1.760
119,105,-0.210
120,105,0.720
121,105,-0.260
122,105,-0.230
123,105,-0.360
124,105,-0.260
125,105,0.740
126,105,-0.130
127,105,-0.290
128,105,-0.320
129,105,-0.180
130,105,-0.170
131,105,-0.120
132,105,-0.120
133,105,-0.290
134,105,-0.240
135,105,0.720
136,105,0.880
137,105,-0.260
138,105,2.730
109,106,1.760
110,106,-0.270
111,106,-0.140
112,106,-0.140
113,106,-0.220
114,106,-0.300
115,106,-0.200
116,106,-0.220
117,106,-0.170
118,106,-0.180
119,106,-0.200
120,106,-0.440
121,106,-0.240
122,106,-0.230
123,106,0.570
124,106,-0.080
125,106,-0.260
126,106,-0.150
127,106,-0.310
128,106,-0.270
129,106,-0.290
130,106,-0.260
131,106,-0.180
132,106,-0.160
133,106,-0.180
134,106,0.750
135,106,-0.210
136,106,-0.150
137,106,-0.180
138,106,-0.180
139,106,-0.180
140,106,1.860
141,106,-0.160
142,106,2.860
143,106,-0.200
144,106,-0.280
145,106,-0.280
146,106,-0.170
147,106,-0.140
109,107,0.770
110,107,-0.190
111,107,-0.190
112,107,-0.220
113,107,-0.150
114,107,-0.120
115,107,0.780
116,107,-0.140
117,107,-0.210
118,107,-0.210
119,107,-0.210
120,107,-0.200
121,107,0.820
122,107,-0.250
123,107,-0.220
124,107,-0.310
125,107,-0.200
126,107,-0.280
127,107,-0.200
128,107,-0.110
129,107,0.880
130,107,-0.280
131,107,-0.200
132,107,-0.080
133,107,0.730
134,107,-0.300
135,107,1.890
136,107,-0.060
137,107,0.850
138,107,0.850
139,107,1.750
140,107,1.840
141,107,-0.130
142,107,1.780
143,107,-0.210
144,107,-0.390
145,107,1.740
146,107,-0.230
147,107,-0.200
148,107,0.860
149,107,-0.220
150,107,-0.170
151,107,-0.170
152,107,-0.140
153,107,-0.310
154,107,-0.200
155,107,-0.120
156,107,5.790
109,108,-0.100
110,108,-0.140
111,108,1.890
112,108,0.620
113,108,-0.330
114,108,-0.210
115,108,-0.230
116,108,-0.070
117,108,1.630
118,108,-0.220
119,108,-0.180
120,108,-0.350
121,108,-0.350
122,108,-0.230
123,108,-0.220
124,108,-0.170
125,108,-0.170
126,108,-0.200
127,108,-0.190
128,108,-0.180
129,108,-0.150
130,108,-0.270
131,108,-0.240
132,108,-0.200
133,108,1.750
134,108,0.780
135,108,-0.280
136,108,-0.100
137,108,-0.170
138,108,-0.320
139,108,1.830
140,108,-0.280
141,108,1.820
142,108,-0.200
143,108,-0.130
144,108,0.810
145,108,-0.140
146,108,1.740
147,108,-0.200
148,108,-0.240
149,108,3.780
150,108,-0.170
151,108,-0.220
152,108,1.760
153,108,-0.110
154,108,0.870
155,108,-0.260
156,108,-0.270
157,108,0.660
158,108,1.740
159,108,-0.190
160,108,-0.140
161,108,-0.280
162,108,-0.100
163,108,4.860
164,108,1.860
165,108,3.860
109,109,-0.290
110,109,-0.180
111,109,-0.140
112,109,-0.200
113,109,-0.080
114,109,0.800
115,109,-0.250
116,109,-0.140
117,109,0.820
118,109,0.840
119,109,-0.180
120,109,-0.260
121,109,-0.240
122,109,-0.260
123,109,1.840
124,109,-0.170
125,109,-0.230
126,109,0.820
127,109,-0.300
128,109,0.850
129,109,-0.330
130,109,-0.170
131,109,-0.240
132,109,-0.210
133,109,0.720
134,109,-0.240
135,109,-0.200
136,109,-0.280
137,109,-0.130
138,109,-0.250
139,109,0.750
140,109,-0.060
141,109,0.710
142,109,-0.190
143,109,0.830
144,109,-0.240
145,109,-0.170
146,109,-0.120
147,109,-0.360
148,109,0.730
149,109,-0.250
150,109,0.740
151,109,-0.140
152,109,-0.190
153,109,0.910
154,109,1.790
155,109,-0.180
156,109,-0.240
157,109,-0.250
158,109,-0.260
159,109,-0.190
160,109,2.890
161,109,-0.140
162,109,-0.280
163,109,-0.330
164,109,1.730
165,109,1.840
166,109,1.710
167,109,-0.230
168,109,-0.210
169,109,1.840
170,109,-0.220
171,109,7.870
172,109,-0.260
173,109,-0.250
174,109,2.850
109,110,-1.260
110,110,-0.360
111,110,-0.290
112,110,-0.130
113,110,-0.240
114,110,-0.350
115,110,-0.260
116,110,0.740
117,110,-0.190
118,110,-0.150
119,110,0.810
120,110,0.610
121,110,-0.180
122,110,-0.330
123,110,-0.360
124,110,-0.130
125,110,-0.240
126,110,-0.220
127,110,-0.130
128,110,-0.210
129,110,-0.230
130,110,-0.200
131,110,-0.150
132,110,-0.210
133,110,0.690
134,110,2.700
135,110,-0.340
136,110,-0.190
137,110,-0.190
138,110,-0.390
139,110,-0.140
140,110,-0.250
141,110,-0.250
142,110,1.780
143,110,-0.120
144,110,0.710
145,110,-0.340
146,110,-0.200
147,110,2.820
148,110,-0.330
149,110,0.750
150,110,0.730
151,110,-0.130
152,110,-0.170
153,110,-0.180
154,110,4.620
155,110,3.880
156,110,-0.210
157,110,-0.170
158,110,0.770
159,110,0.800
160,110,1.730
161,110,0.760
162,110,-0.140
163,110,-0.240
164,110,0.760
165,110,0.860
166,110,-0.170
167,110,0.790
168,110,0.740
169,110,-0.210
170,110,-0.160
171,110,-0.280
172,110,0.800
173,110,0.920
174,110,-0.190
175,110,-0.090
176,110,-0.080
177,110,-0.160
178,110,0.840
179,110,-0.220
180,110,-0.340
181,110,2.680
182,110,-0.250
183,110,-0.210
109,111,0.820
110,111,-0.200
111,111,1.700
112,111,-0.150
