X,Y,Value
146,103,-0.240
147,103,-0.170
148,103,-0.180
149,103,-0.170
150,103,-0.160
151,103,3.800
152,103,-1.240
153,103,2.800
154,103,-0.130
155,103,-0.190
156,103,-0.220
157,103,-0.260
158,103,-0.250
159,103,-0.080
160,103,-0.220
161,103,-0.190
162,103,-0.200
163,103,-0.200
164,103,-0.220
165,103,-0.400
166,103,-0.200
167,103,-0.150
168,103,-0.170
169,103,-0.220
170,103,1.880
171,103,1.820
172,103,-0.270
173,103,4.830
174,103,-0.200
175,103,-0.190
176,103,8.790
177,103,0.820
178,103,-0.150
179,103,-0.280
180,103,-1.290
181,103,0.710
182,103,-0.280
183,103,0.800
184,103,-0.200
185,103,-0.230
186,103,-0.190
187,103,-0.230
188,103,1.660
189,103,-0.270
190,103,-0.130
191,103,0.750
192,103,-0.260
193,103,0.770
194,103,-0.170
195,103,-0.160
196,103,-0.250
197,103,0.680
139,104,2.740
140,104,-0.190
141,104,-0.170
142,104,-0.290
143,104,2.820
144,104,-0.370
145,104,-0.160
146,104,-0.260
147,104,-0.190
148,104,-0.220
149,104,-0.230
150,104,-0.170
151,104,0.680
152,104,3.770
153,104,-0.130
154,104,-0.210
155,104,-0.240
156,104,0.740
157,104,2.860
158,104,4.790
159,104,1.800
160,104,-0.150
161,104,3.690
162,104,-0.230
163,104,0.720
164,104,-0.150
165,104,-0.360
166,104,2.790
167,104,-0.120
168,104,0.730
169,104,-0.310
170,104,2.740
171,104,-0.250
172,104,0.790
173,104,0.820
174,104,-0.300
175,104,0.870
176,104,3.840
177,104,-0.150
178,104,-0.310
179,104,0.720
180,104,-0.270
181,104,-0.190
182,104,1.880
183,104,-0.220
184,104,1.790
185,104,-0.300
186,104,-0.250
187,104,1.760
188,104,-0.130
189,104,-0.200
190,104,-0.280
191,104,-0.260
192,104,-0.300
193,104,-0.140
194,104,-0.290
195,104,-0.290
196,104,-0.250
197,104,-0.330
139,105,-0.150
140,105,-0.130
141,105,-0.270
142,105,-0.170
143,105,-0.160
144,105,-0.130
145,105,2.710
146,105,-0.270
147,105,6.830
148,105,-0.130
149,105,1.700
150,105,-0.090
151,105,-0.180
152,105,-0.220
153,105,0.820
154,105,-0.190
155,105,0.910
156,105,-0.240
157,105,-0.260
158,105,0.790
159,105,3.710
160,105,3.900
161,105,-0.230
162,105,-0.160
163,105,1.830
164,105,-0.140
165,105,0.870
166,105,-0.190
167,105,-0.290
168,105,2.750
169,105,-0.140
170,105,1.700
171,105,1.850
172,105,-0.120
173,105,-0.200
174,105,2.720
175,105,-0.160
176,105,-0.180
177,105,-0.270
178,105,-0.280
179,105,-0.160
180,105,-0.190
181,105,-0.140
182,105,-0.230
183,105,-0.150
184,105,-0.180
185,105,-0.270
186,105,-1.170
187,105,-0.130
188,105,-0.200
189,105,-0.130
190,105,-0.220
191,105,-0.130
192,105,-0.170
193,105,-0.270
194,105,-0.220
195,105,-0.170
196,105,-0.290
197,105,-0.270
139,106,-0.180
140,106,-0.140
141,106,-0.160
142,106,-0.140
143,106,-0.200
144,106,1.720
145,106,0.720
146,106,-0.170
147,106,-0.140
148,106,-0.360
149,106,1.760
150,106,-0.170
151,106,0.700
152,106,1.800
153,106,-0.140
154,106,-0.210
155,106,-0.190
156,106,1.810
157,106,-0.160
158,106,0.820
159,106,-0.140
160,106,0.830
161,106,3.890
162,106,0.770
163,106,2.870
164,106,0.890
165,106,2.840
166,106,1.900
167,106,3.860
168,106,0.860
169,106,3.770
170,106,0.910
171,106,3.850
172,106,0.860
173,106,1.840
174,106,-0.200
175,106,1.800
176,106,3.860
177,106,-0.130
178,106,-0.240
179,106,-0.110
180,106,-0.250
181,106,4.910
182,106,-0.290
183,106,-0.270
184,106,-0.120
185,106,-0.090
186,106,-0.180
187,106,-0.220
188,106,-0.250
189,106,0.910
190,106,-0.270
191,106,0.760
192,106,-0.120
193,106,-0.230
194,106,0.690
195,106,-0.220
196,106,-0.140
197,106,1.710
139,107,-0.250
140,107,-0.160
141,107,-0.130
142,107,-0.220
