X,Y,Value
88,116,-0.130
89,116,-0.320
90,116,-0.070
91,116,-0.270
92,116,0.670
93,116,2.640
94,116,0.740
95,116,-0.270
96,116,1.830
97,116,-0.140
98,116,-0.270
99,116,1.710
100,116,-0.300
101,116,-0.220
102,116,-0.290
103,116,1.790
104,116,-0.470
105,116,-0.110
106,116,1.770
107,116,-0.250
108,116,-0.140
109,116,-0.250
110,116,0.780
111,116,-0.310
112,116,-0.290
113,116,-0.170
114,116,0.800
115,116,-0.360
116,116,-0.400
117,116,-0.170
118,116,-0.290
119,116,-0.090
120,116,-0.180
121,116,-0.240
122,116,-0.220
123,116,1.790
124,116,-0.210
125,116,1.640
126,116,1.700
127,116,-0.250
128,116,-0.240
129,116,-0.200
130,116,-0.130
131,116,-0.090
132,116,-0.240
133,116,-0.090
134,116,2.840
135,116,1.780
136,116,0.710
137,116,3.790
138,116,5.900
139,116,-0.180
140,116,-0.170
141,116,-0.250
142,116,4.780
143,116,9.740
144,116,-0.120
145,116,8.760
146,116,4.870
147,116,0.820
148,116,0.860
149,116,0.810
150,116,2.820
151,116,-0.150
152,116,-0.160
153,116,-0.170
154,116,1.810
155,116,-0.200
156,116,-0.300
157,116,4.840
158,116,3.840
159,116,1.820
160,116,8.780
161,116,1.750
162,116,1.750
163,116,0.840
164,116,1.760
165,116,-0.190
166,116,-0.190
167,116,-0.240
168,116,-0.160
169,116,-0.180
170,116,-0.240
171,116,2.860
172,116,-0.330
173,116,1.700
174,116,-0.170
175,116,1.810
176,116,0.770
177,116,-0.160
178,116,-0.170
179,116,-0.350
180,116,4.820
181,116,-0.370
182,116,2.720
183,116,-0.250
184,116,1.910
185,116,2.850
186,116,-0.210
187,116,-0.140
188,116,-0.210
189,116,0.780
190,116,-0.160
191,116,-0.350
192,116,-0.180
193,116,-0.200
194,116,-0.150
195,116,-0.290
196,116,-0.190
197,116,-0.150
198,116,-0.220
199,116,-0.200
200,116,0.900
201,116,-0.420
202,116,0.640
203,116,0.840
204,116,-0.120
205,116,-0.260
206,116,0.740
207,116,-1.270
208,116,0.760
88,117,-0.190
89,117,-0.260
90,117,0.650
91,117,0.900
92,117,0.650
93,117,-0.190
94,117,-0.240
95,117,-0.190
96,117,0.750
97,117,-0.230
98,117,0.680
99,117,-0.230
100,117,0.800
101,117,-0.430
102,117,-0.240
103,117,0.800
104,117,-0.190
105,117,-0.220
106,117,-0.240
107,117,-0.200
108,117,0.720
109,117,-0.210
110,117,-0.200
111,117,1.730
112,117,0.650
113,117,-0.200
114,117,-0.460
115,117,-0.410
116,117,-0.250
117,117,-0.360
118,117,-0.200
119,117,-0.200
120,117,-0.220
121,117,1.570
122,117,1.720
123,117,0.850
124,117,-0.320
125,117,1.770
126,117,1.870
127,117,-0.170
128,117,0.840
129,117,-0.260
130,117,-0.360
131,117,-0.120
132,117,-0.250
133,117,1.790
134,117,-0.260
135,117,6.870
136,117,0.770
137,117,4.740
138,117,3.770
139,117,-0.180
140,117,1.760
141,117,-0.210
142,117,0.740
143,117,0.760
144,117,0.870
145,117,4.740
146,117,0.840
147,117,1.670
148,117,5.870
149,117,-0.270
150,117,0.710
151,117,3.810
152,117,2.920
153,117,4.810
154,117,-0.190
155,117,-0.170
156,117,1.880
157,117,-0.360
158,117,0.690
159,117,0.760
160,117,3.840
161,117,0.860
162,117,1.750
163,117,1.860
164,117,0.880
165,117,5.760
166,117,5.670
167,117,1.700
168,117,0.580
169,117,-0.240
170,117,-0.350
171,117,-0.120
172,117,-0.160
173,117,1.720
174,117,1.860
175,117,-0.280
176,117,-0.230
177,117,4.790
178,117,-0.470
179,117,1.680
180,117,-0.240
181,117,-0.270
182,117,-0.220
183,117,-0.080
184,117,-0.240
185,117,-0.290
186,117,-0.280
187,117,-0.250
188,117,0.710
189,117,-0.390
190,117,-0.230
191,117,1.790
192,117,-0.280
193,117,-0.210
194,117,-0.140
195,117,0.850
196,117,-0.120
197,117,-0.220
198,117,-0.290
199,117,-0.260
200,117,-0.240
201,117,-0.100
202,117,-0.170
203,117,-0.200
204,117,-0.300
205,117,-0.260
206,117,0.810
207,117,-0.300
208,117,0.830
88,118,-0.410
89,118,-0.130
90,118,-0.150
91,118,0.720
92,118,-0.320
93,118,0.780
94,118,-0.210
95,118,-0.250
96,118,0.810
97,118,-0.320
98,118,-0.260
99,118,-0.270
100,118,-0.220
101,118,-0.230
102,118,-0.290
103,118,-0.160
104,118,-0.350
105,118,-0.270
106,118,0.820
107,118,-0.290
108,118,-0.180
109,118,-0.210
110,118,-0.320
111,118,1.700
112,118,2.850
113,118,-0.200
114,118,0.920
115,118,-0.260
116,118,-0.240
117,118,0.820
118,118,0.810
119,118,-0.190
120,118,-0.230
121,118,-0.200
122,118,-0.160
123,118,-0.210
124,118,-0.280
125,118,2.830
126,118,2.870
127,118,-0.280
128,118,1.760
129,118,4.810
130,118,-0.190
131,118,4.720
132,118,-0.190
133,118,-0.200
134,118,-0.190
135,118,3.840
136,118,3.610
137,118,1.820
138,118,0.850
139,118,2.600
140,118,6.560
141,118,-0.230
142,118,-0.230
143,118,2.890
144,118,1.740
145,118,1.730
146,118,3.850
147,118,1.880
148,118,6.740
149,118,1.950
150,118,-0.080
151,118,0.700
152,118,6.810
153,118,1.740
154,118,5.890
155,118,1.750
156,118,-0.140
157,118,2.860
158,118,2.810
159,118,3.740
160,118,6.870
161,118,2.790
162,118,1.660
163,118,0.740
164,118,0.810
165,118,-0.140
166,118,0.880
167,118,0.780
168,118,2.780
169,118,4.840
170,118,3.700
171,118,2.770
172,118,1.930
173,118,0.830
174,118,0.700
175,118,0.770
176,118,0.710
177,118,-0.130
178,118,-0.290
179,118,-0.250
180,118,0.830
181,118,-0.270
182,118,-0.130
183,118,-0.140
184,118,3.850
185,118,0.730
186,118,-0.200
187,118,-0.200
188,118,-0.100
189,118,2.700
190,118,-0.160
191,118,-0.190
192,118,2.850
193,118,-0.240
194,118,0.900
195,118,0.760
196,118,0.910
197,118,-0.090
198,118,-0.330
199,118,-0.310
200,118,-0.250
201,118,-0.170
202,118,-0.090
203,118,-0.310
204,118,-0.350
205,118,0.740
206,118,-0.320
207,118,-0.170
208,118,-0.280
88,119,-0.300
89,119,4.560
90,119,-0.350
91,119,-0.230
92,119,-0.210
93,119,-0.340
94,119,-0.270
95,119,-0.320
96,119,-0.390
97,119,-0.100
98,119,-0.180
99,119,-0.190
100,119,-0.130
101,119,-0.130
102,119,-0.520
