X,Y,Value
142,123,3
143,123,4
144,123,3
142,124,2
143,124,0
144,124,0
145,124,2
146,124,5
147,124,4
148,124,2
149,124,0
150,124,7
151,124,0
152,124,0
153,124,8
154,124,2
155,124,8
156,124,2
157,124,8
158,124,11
141,125,1
142,125,-1
143,125,0
144,125,7
145,125,0
146,125,1
147,125,0
148,125,1
149,125,2
150,125,0
151,125,5
152,125,4
153,125,3
154,125,2
155,125,14
156,125,8
157,125,4
158,125,8
159,125,19
160,125,14
161,125,14
162,125,13
163,125,8
164,125,9
165,125,3
166,125,8
167,125,7
168,125,6
169,125,5
170,125,4
171,125,14
172,125,5
173,125,10
141,126,0
142,126,2
143,126,0
144,126,3
145,126,1
146,126,2
147,126,6
148,126,0
149,126,1
150,126,5
151,126,5
152,126,9
153,126,8
154,126,14
155,126,20
156,126,7
157,126,8
158,126,17
159,126,11
160,126,9
161,126,4
162,126,8
163,126,5
164,126,13
165,126,8
166,126,8
167,126,15
168,126,19
169,126,9
170,126,4
171,126,13
172,126,3
173,126,19
174,126,14
175,126,5
176,126,3
177,126,3
178,126,0
179,126,13
180,126,8
181,126,4
182,126,1
183,126,4
184,126,0
185,126,0
186,126,1
187,126,0
141,127,-1
142,127,1
143,127,1
144,127,1
145,127,0
146,127,0
147,127,0
148,127,3
149,127,2
150,127,1
151,127,4
152,127,6
153,127,8
154,127,11
155,127,14
156,127,16
157,127,19
158,127,15
159,127,18
160,127,26
161,127,12
162,127,14
163,127,23
164,127,12
165,127,9
166,127,12
167,127,11
168,127,5
169,127,15
170,127,13
171,127,12
172,127,11
173,127,8
174,127,10
175,127,4
176,127,7
177,127,5
178,127,9
179,127,16
180,127,12
181,127,9
182,127,8
183,127,12
184,127,3
185,127,5
186,127,4
187,127,5
188,127,2
189,127,3
190,127,1
191,127,2
141,128,0
142,128,3
143,128,4
144,128,1
145,128,1
146,128,3
147,128,3
148,128,3
149,128,0
150,128,11
151,128,2
152,128,8
153,128,13
154,128,20
155,128,26
156,128,38
157,128,30
158,128,36
159,128,23
160,128,39
161,128,33
162,128,20
163,128,24
164,128,17
165,128,26
166,128,11
167,128,21
168,128,16
169,128,5
170,128,11
171,128,12
172,128,6
173,128,11
174,128,14
175,128,16
176,128,12
177,128,15
178,128,18
179,128,18
180,128,13
181,128,17
182,128,9
183,128,2
184,128,7
185,128,9
186,128,6
187,128,2
188,128,1
189,128,7
190,128,0
191,128,0
141,129,1
142,129,2
143,129,0
144,129,3
145,129,0
146,129,3
147,129,-1
148,129,2
149,129,1
150,129,15
151,129,8
152,129,15
153,129,22
154,129,31
155,129,46
156,129,56
157,129,63
158,129,83
159,129,45
160,129,58
161,129,57
162,129,58
163,129,36
164,129,25
165,129,33
166,129,17
167,129,27
168,129,41
169,129,31
170,129,22
171,129,27
172,129,22
173,129,18
174,129,19
175,129,35
176,129,22
177,129,23
178,129,30
179,129,26
180,129,48
181,129,33
182,129,17
183,129,16
184,129,2
185,129,6
186,129,7
187,129,4
188,129,4
189,129,2
190,129,2
191,129,5
141,130,3
142,130,1
143,130,4
144,130,1
145,130,1
146,130,2
147,130,0
148,130,4
149,130,0
150,130,12
151,130,10
152,130,23
153,130,70
154,130,46
155,130,76
156,130,107
157,130,116
158,130,109
159,130,99
160,130,96
161,130,105
162,130,57
163,130,81
164,130,52
165,130,33
166,130,67
167,130,53
168,130,42
169,130,35
170,130,29
171,130,50
172,130,37
173,130,50
174,130,31
175,130,50
176,130,53
177,130,52
178,130,59
179,130,77
180,130,61
181,130,60
182,130,27
183,130,16
184,130,16
185,130,5
186,130,5
187,130,3
188,130,2
189,130,1
190,130,1
191,130,4
141,131,2
142,131,0
143,131,0
144,131,0
145,131,6
146,131,0
147,131,3
148,131,12
149,131,6
150,131,3
151,131,18
152,131,17
153,131,36
154,131,50
155,131,126
156,131,125
157,131,131
158,131,143
159,131,149
160,131,109
161,131,143
162,131,137
163,131,145
164,131,112
165,131,71
166,131,74
167,131,82
168,131,62
169,131,74
170,131,104
171,131,88
172,131,64
173,131,84
174,131,67
175,131,116
176,131,96
177,131,121
178,131,99
179,131,98
180,131,109
181,131,70
182,131,53
183,131,27
184,131,12
185,131,12
186,131,6
187,131,4
188,131,2
189,131,1
190,131,1
191,131,4
141,132,3
142,132,1
143,132,6
144,132,4
145,132,10
146,132,2
147,132,2
148,132,4
149,132,3
150,132,7
151,132,5
152,132,25
153,132,37
154,132,80
155,132,116
156,132,125
157,132,164
158,132,141
159,132,177
160,132,155
161,132,165
162,132,215
163,132,136
164,132,137
165,132,179
166,132,132
167,132,103
168,132,142
169,132,116
170,132,125
171,132,136
172,132,131
173,132,130
174,132,95
175,132,165
176,132,157
177,132,168
178,132,171
179,132,193
180,132,142
181,132,109
182,132,58
183,132,40
184,132,16
185,132,24
186,132,12
187,132,1
188,132,3
189,132,5
190,132,5
191,132,1
141,133,0
142,133,0
143,133,0
144,133,3
145,133,1
146,133,9
147,133,0
148,133,5
149,133,4
150,133,6
151,133,5
152,133,18
153,133,31
154,133,46
155,133,62
156,133,102
157,133,130
158,133,120
159,133,162
160,133,160
161,133,197
162,133,203
163,133,219
164,133,166
165,133,204
166,133,185
167,133,177
168,133,158
169,133,164
170,133,158
171,133,187
172,133,167
173,133,165
174,133,174
175,133,204
176,133,222
177,133,243
178,133,203
179,133,173
180,133,101
181,133,73
182,133,50
183,133,34
184,133,20
185,133,14
186,133,4
187,133,12
188,133,7
189,133,1
190,133,1
191,133,4
141,134,0
142,134,1
143,134,0
144,134,1
145,134,4
146,134,7
147,134,6
148,134,9
149,134,7
150,134,6
151,134,5
152,134,7
153,134,28
154,134,47
155,134,47
156,134,71
157,134,73
158,134,128
159,134,137
160,134,176
161,134,135
162,134,198
163,134,194
164,134,190
165,134,193
166,134,169
167,134,218
168,134,182
169,134,154
170,134,196
171,134,179
172,134,193
173,134,198
174,134,159
175,134,157
176,134,140
177,134,160
178,134,144
179,134,157
180,134,90
181,134,81
182,134,51
183,134,28
184,134,14
185,134,12
186,134,14
187,134,5
188,134,5
189,134,6
190,134,1
191,134,4
141,135,3
142,135,0
143,135,0
144,135,1
145,135,4
146,135,1
147,135,0
148,135,2
149,135,4
150,135,3
151,135,13
152,135,7
153,135,9
154,135,28
155,135,32
156,135,57
157,135,35
158,135,73
159,135,67
160,135,104
161,135,110
162,135,116
163,135,144
164,135,168
165,135,132
166,135,200
167,135,133
168,135,142
169,135,131
170,135,118
171,135,138
172,135,122
173,135,121
174,135,90
175,135,107
176,135,117
177,135,96
178,135,71
179,135,91
180,135,74
181,135,60
182,135,50
183,135,32
184,135,19
185,135,19
186,135,7
187,135,5
188,135,10
189,135,7
190,135,2
191,135,3
141,136,0
142,136,0
143,136,0
144,136,0
145,136,3
146,136,0
147,136,1
148,136,3
149,136,2
150,136,5
151,136,6
152,136,6
153,136,9
154,136,15
155,136,25
156,136,22
157,136,40
158,136,45
159,136,68
160,136,71
161,136,82
162,136,90
163,136,83
164,136,105
165,136,90
166,136,83
167,136,71
168,136,85
169,136,81
170,136,78
171,136,96
172,136,127
173,136,81
174,136,65
175,136,68
176,136,79
177,136,45
178,136,42
179,136,59
180,136,49
181,136,41
182,136,40
183,136,15
184,136,18
185,136,4
186,136,3
187,136,2
188,136,3
189,136,2
190,136,0
191,136,6
141,137,2
142,137,0
143,137,0
144,137,2
145,137,-1
146,137,0
147,137,2
148,137,3
149,137,1
150,137,5
151,137,2
152,137,7
153,137,13
154,137,17
155,137,10
156,137,9
157,137,15
158,137,26
159,137,33
160,137,42
161,137,43
162,137,36
163,137,45
164,137,62
165,137,54
166,137,45
167,137,40
168,137,46
169,137,49
170,137,44
171,137,42
172,137,65
173,137,34
174,137,36
175,137,28
176,137,34
177,137,29
178,137,34
179,137,16
180,137,25
181,137,14
182,137,8
183,137,10
184,137,3
185,137,9
186,137,3
187,137,1
188,137,4
189,137,0
190,137,3
141,138,0
142,138,0
143,138,0
144,138,1
145,138,2
146,138,0
147,138,1
148,138,3
149,138,1
150,138,2
151,138,6
152,138,4
