Archivo	R Cuadrado Irregular
1p4Bot_5msexp_16 Plot Data.csv	-0.0722
1p4Bot_5msexp_19 Plot Data.csv	-0.0755
1p4Bot_5msexp_65 Plot Data.csv	0.5489
1p4Bot_5msexp_84 Plot Data.csv	-0.6354
1p5Bot_5msexp_14 Plot Data.csv	-5.6941
1p5Bot_5msexp_17 Plot Data.csv	-0.4634
1p5Bot_5msexp_30 Plot Data.csv	-1.5367
1p5Bot_5msexp_48 Plot Data.csv	0.1024
1p5Bot_5msexp_5 Plot Data.csv	-0.2691
1p5Bot_5msexp_57 Plot Data.csv	0.1427
1p5Bot_5msexp_59 Plot Data.csv	0.0642
1p5Bot_5msexp_62 Plot Data.csv	-3.0434
1p5Bot_5msexp_72 Plot Data.csv	-2.2323
1p5Bot_5msexp_76 Plot Data.csv	-0.7601
1p5Bot_5msexp_79 Plot Data.csv	-1.6103
1p5Bot_5msexp_82 Plot Data.csv	-0.3211
1p5Bot_5msexp_94 Plot Data.csv	-0.9069
1p5Bot_5msexp_96 Plot Data.csv	0.0033
1p5Bot_5msexp_99 Plot Data.csv	-1.2332
1p6Bot_5msexp_38 Plot Data.csv	-1.4516
1p6Bot_5msexp_49 Plot Data.csv	-0.5171
1p6Bot_5msexp_66 Plot Data.csv	-0.6276
