Archivo	R Cuadrado
1p4Bot_5msexp_(1)_3 Plot Data.csv	0.5381
1p4Bot_5msexp_(1)_32 Plot Data.csv	-0.3369
1p4Bot_5msexp_(1)_47 Plot Data.csv	-1.0921
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	-10.4716
1p4Bot_5msexp_(1)_67 Plot Data.csv	0.1098
1p4Bot_5msexp_(1)_71 Plot Data.csv	-0.0389
1p4Bot_5msexp_(1)_73 Plot Data.csv	0.5629
1p4Bot_5msexp_(1)_76 Plot Data.csv	-0.6631
1p4Bot_5msexp_(1)_84 Plot Data.csv	-0.2983
1p4Bot_5msexp_(1)_87 Plot Data.csv	-1.2040
1p4Bot_5msexp_(1)_91 Plot Data.csv	-0.9093
1p4Bot_5msexp_(1)_99 Plot Data.csv	-0.5175
1p4Bot_5msexp_10 Plot Data.csv	-9.1600
1p4Bot_5msexp_59 Plot Data.csv	-0.3054
1p4Bot_5msexp_88 Plot Data.csv	-8.5009
1p4Bot_5msexp_9 Plot Data.csv	-1.0277
1p5Bot_5msexp_12 Plot Data.csv	-0.7488
1p5Bot_5msexp_32 Plot Data.csv	-0.0951
1p5Bot_5msexp_41 Plot Data.csv	-0.9754
1p5Bot_5msexp_68 Plot Data.csv	-0.0516
1p6Bot_5msexp_11 Plot Data.csv	-0.0331
1p6Bot_5msexp_14 Plot Data.csv	-2.4227
1p6Bot_5msexp_16 Plot Data.csv	0.4130
1p6Bot_5msexp_25 Plot Data.csv	-1.6252
1p6Bot_5msexp_29 Plot Data.csv	-0.4419
1p6Bot_5msexp_3 Plot Data.csv	-1.0005
1p6Bot_5msexp_42 Plot Data.csv	-3.4784
1p6Bot_5msexp_55 Plot Data.csv	-1.0481
1p6Bot_5msexp_6 Plot Data.csv	-0.7843
1p6Bot_5msexp_67 Plot Data.csv	-2.5608
1p6Bot_5msexp_7 Plot Data.csv	-0.2432
1p6Bot_5msexp_70 Plot Data.csv	0.4800
1p6Bot_5msexp_79 Plot Data.csv	-0.7278
1p6Bot_5msexp_83 Plot Data.csv	-1.0251
1p6Bot_5msexp_84 Plot Data.csv	-1.6191
1p6Bot_5msexp_86 Plot Data.csv	-0.6333
1p6Bot_5msexp_9 Plot Data.csv	-1.4679
1p7Bot_5msexp_0 Plot Data.csv	-1.8162
1p7Bot_5msexp_19 Plot Data.csv	-1.8290
1p7Bot_5msexp_2 Plot Data.csv	-2.4704
1p7Bot_5msexp_21 Plot Data.csv	0.1560
1p7Bot_5msexp_29 Plot Data.csv	-1.6367
1p7Bot_5msexp_36 Plot Data.csv	-2.5050
1p7Bot_5msexp_5 Plot Data.csv	-2.5390
1p7Bot_5msexp_50 Plot Data.csv	-2.4170
1p7Bot_5msexp_56 Plot Data.csv	-0.7614
1p7Bot_5msexp_59 Plot Data.csv	-0.5042
1p7Bot_5msexp_6 Plot Data.csv	0.2999
1p7Bot_5msexp_60 Plot Data.csv	-2.5141
1p7Bot_5msexp_68 Plot Data.csv	-4.4353
1p7Bot_5msexp_73 Plot Data.csv	-1.1672
1p7Bot_5msexp_79 Plot Data.csv	-2.5530
1p7Bot_5msexp_81 Plot Data.csv	-3.4474
1p7Bot_5msexp_84 Plot Data.csv	-1.4035
1p7Bot_5msexp_88 Plot Data.csv	-4.4798
1p7Bot_5msexp_92 Plot Data.csv	-1.0727
1p7Bot_5msexp_95 Plot Data.csv	-1.2057
1p8Bot_5msexp_16 Plot Data.csv	-2.7429
1p8Bot_5msexp_20 Plot Data.csv	-1.6406
1p8Bot_5msexp_21 Plot Data.csv	-0.5081
1p8Bot_5msexp_22 Plot Data.csv	-2.0705
1p8Bot_5msexp_25 Plot Data.csv	-1.7982
1p8Bot_5msexp_29 Plot Data.csv	-3.7151
1p8Bot_5msexp_32 Plot Data.csv	-3.6566
1p8Bot_5msexp_37 Plot Data.csv	-5.1555
1p8Bot_5msexp_44 Plot Data.csv	0.5270
1p8Bot_5msexp_49 Plot Data.csv	-3.9866
1p8Bot_5msexp_51 Plot Data.csv	-0.0700
1p8Bot_5msexp_52 Plot Data.csv	-1.4941
1p8Bot_5msexp_55 Plot Data.csv	-1.2997
1p8Bot_5msexp_57 Plot Data.csv	-1.9722
1p8Bot_5msexp_65 Plot Data.csv	-3.1835
1p8Bot_5msexp_67 Plot Data.csv	-1.5180
1p8Bot_5msexp_69 Plot Data.csv	-1.7116
