Archivo	Signal to Noise Relation
1p4Bot_5msexp_(1)_3 Plot Data.csv	23.0767
1p4Bot_5msexp_(1)_32 Plot Data.csv	8.6523
1p4Bot_5msexp_(1)_47 Plot Data.csv	4.6860
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	0.4616
1p4Bot_5msexp_(1)_67 Plot Data.csv	17.7308
1p4Bot_5msexp_(1)_71 Plot Data.csv	15.6527
1p4Bot_5msexp_(1)_73 Plot Data.csv	29.0396
1p4Bot_5msexp_(1)_76 Plot Data.csv	5.5206
1p4Bot_5msexp_(1)_84 Plot Data.csv	5.7920
1p4Bot_5msexp_(1)_87 Plot Data.csv	4.8618
1p4Bot_5msexp_(1)_91 Plot Data.csv	3.5271
1p4Bot_5msexp_(1)_99 Plot Data.csv	11.7261
1p4Bot_5msexp_10 Plot Data.csv	0.3879
1p4Bot_5msexp_59 Plot Data.csv	14.3524
1p4Bot_5msexp_88 Plot Data.csv	0.2099
1p4Bot_5msexp_9 Plot Data.csv	2.1927
1p5Bot_5msexp_12 Plot Data.csv	7.7758
1p5Bot_5msexp_32 Plot Data.csv	7.8801
1p5Bot_5msexp_41 Plot Data.csv	2.7668
1p5Bot_5msexp_68 Plot Data.csv	11.5766
1p6Bot_5msexp_11 Plot Data.csv	8.8054
1p6Bot_5msexp_14 Plot Data.csv	5.0191
1p6Bot_5msexp_16 Plot Data.csv	16.5727
1p6Bot_5msexp_25 Plot Data.csv	3.2816
1p6Bot_5msexp_29 Plot Data.csv	8.2821
1p6Bot_5msexp_3 Plot Data.csv	5.0262
1p6Bot_5msexp_42 Plot Data.csv	0.9265
1p6Bot_5msexp_55 Plot Data.csv	3.5398
1p6Bot_5msexp_6 Plot Data.csv	6.3854
1p6Bot_5msexp_67 Plot Data.csv	3.0609
1p6Bot_5msexp_7 Plot Data.csv	10.6840
1p6Bot_5msexp_70 Plot Data.csv	17.4593
1p6Bot_5msexp_79 Plot Data.csv	6.3208
1p6Bot_5msexp_83 Plot Data.csv	5.0844
1p6Bot_5msexp_84 Plot Data.csv	3.2586
1p6Bot_5msexp_86 Plot Data.csv	4.9734
1p6Bot_5msexp_9 Plot Data.csv	3.9357
1p7Bot_5msexp_0 Plot Data.csv	6.5740
1p7Bot_5msexp_19 Plot Data.csv	1.6806
1p7Bot_5msexp_2 Plot Data.csv	2.0093
1p7Bot_5msexp_21 Plot Data.csv	17.5777
1p7Bot_5msexp_29 Plot Data.csv	3.6800
1p7Bot_5msexp_36 Plot Data.csv	2.8453
1p7Bot_5msexp_5 Plot Data.csv	0.9638
1p7Bot_5msexp_50 Plot Data.csv	3.2126
1p7Bot_5msexp_56 Plot Data.csv	8.0591
1p7Bot_5msexp_59 Plot Data.csv	7.7840
1p7Bot_5msexp_6 Plot Data.csv	19.8564
1p7Bot_5msexp_60 Plot Data.csv	1.2887
1p7Bot_5msexp_68 Plot Data.csv	1.4392
1p7Bot_5msexp_73 Plot Data.csv	3.6972
1p7Bot_5msexp_79 Plot Data.csv	1.0703
1p7Bot_5msexp_81 Plot Data.csv	3.5095
1p7Bot_5msexp_84 Plot Data.csv	4.8085
1p7Bot_5msexp_88 Plot Data.csv	0.9155
1p7Bot_5msexp_92 Plot Data.csv	3.2063
1p7Bot_5msexp_95 Plot Data.csv	4.8423
1p8Bot_5msexp_16 Plot Data.csv	1.9322
1p8Bot_5msexp_20 Plot Data.csv	1.9076
1p8Bot_5msexp_21 Plot Data.csv	5.5813
1p8Bot_5msexp_22 Plot Data.csv	1.7922
1p8Bot_5msexp_25 Plot Data.csv	2.7700
1p8Bot_5msexp_29 Plot Data.csv	0.6692
1p8Bot_5msexp_32 Plot Data.csv	1.0585
1p8Bot_5msexp_37 Plot Data.csv	0.5035
1p8Bot_5msexp_44 Plot Data.csv	29.0735
1p8Bot_5msexp_49 Plot Data.csv	1.0442
1p8Bot_5msexp_51 Plot Data.csv	12.3080
1p8Bot_5msexp_52 Plot Data.csv	6.8741
1p8Bot_5msexp_55 Plot Data.csv	5.1012
1p8Bot_5msexp_57 Plot Data.csv	2.2149
1p8Bot_5msexp_65 Plot Data.csv	1.1213
1p8Bot_5msexp_67 Plot Data.csv	4.6069
1p8Bot_5msexp_69 Plot Data.csv	1.6284
1p8Bot_5msexp_83 Plot Data.csv	2.5101
1p8Bot_5msexp_88 Plot Data.csv	1.1384
1p8Bot_5msexp_93 Plot Data.csv	1.0669
1p9Bot_5msexp_12 Plot Data.csv	11.1844
1p9Bot_5msexp_2 Plot Data.csv	0.2359
1p9Bot_5msexp_21 Plot Data.csv	0.1046
1p9Bot_5msexp_25 Plot Data.csv	7.1986
1p9Bot_5msexp_32 Plot Data.csv	0.7871
1p9Bot_5msexp_36 Plot Data.csv	29.4445
1p9Bot_5msexp_37 Plot Data.csv	0.3013
1p9Bot_5msexp_39 Plot Data.csv	0.9971
1p9Bot_5msexp_5 Plot Data.csv	1.2422
1p9Bot_5msexp_59 Plot Data.csv	2.3354
1p9Bot_5msexp_63 Plot Data.csv	28.5414
1p9Bot_5msexp_65 Plot Data.csv	0.8410
1p9Bot_5msexp_70 Plot Data.csv	1.1137
1p9Bot_5msexp_74 Plot Data.csv	1.6215
1p9Bot_5msexp_83 Plot Data.csv	0.0436
1p9Bot_5msexp_86 Plot Data.csv	1.9015
1p9Bot_5msexp_89 Plot Data.csv	1.7022
1p9Bot_5msexp_94 Plot Data.csv	1.3584
1p9Bot_5msexp_96 Plot Data.csv	0.0701
1p9Bot_5msexp_98 Plot Data.csv	1.5062
