Archivo	Ganancia Óptica
1p4Bot_5msexp_(1)_3 Plot Data.csv	18.35
1p4Bot_5msexp_(1)_32 Plot Data.csv	18.12
1p4Bot_5msexp_(1)_47 Plot Data.csv	21.02
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	41.12
1p4Bot_5msexp_(1)_67 Plot Data.csv	16.96
1p4Bot_5msexp_(1)_71 Plot Data.csv	17.94
1p4Bot_5msexp_(1)_73 Plot Data.csv	33.80
1p4Bot_5msexp_(1)_76 Plot Data.csv	19.63
1p4Bot_5msexp_(1)_84 Plot Data.csv	16.34
1p4Bot_5msexp_(1)_87 Plot Data.csv	15.59
1p4Bot_5msexp_(1)_91 Plot Data.csv	15.46
1p4Bot_5msexp_(1)_99 Plot Data.csv	11.93
1p4Bot_5msexp_10 Plot Data.csv	21.63
1p4Bot_5msexp_59 Plot Data.csv	16.10
1p4Bot_5msexp_88 Plot Data.csv	50.16
1p4Bot_5msexp_9 Plot Data.csv	8.37
1p5Bot_5msexp_12 Plot Data.csv	18.17
1p5Bot_5msexp_32 Plot Data.csv	17.44
1p5Bot_5msexp_41 Plot Data.csv	7.35
1p5Bot_5msexp_68 Plot Data.csv	18.78
1p6Bot_5msexp_11 Plot Data.csv	23.56
1p6Bot_5msexp_14 Plot Data.csv	23.32
1p6Bot_5msexp_16 Plot Data.csv	23.33
1p6Bot_5msexp_25 Plot Data.csv	21.41
1p6Bot_5msexp_29 Plot Data.csv	17.93
1p6Bot_5msexp_3 Plot Data.csv	21.44
1p6Bot_5msexp_42 Plot Data.csv	19.25
1p6Bot_5msexp_55 Plot Data.csv	24.18
1p6Bot_5msexp_6 Plot Data.csv	21.71
1p6Bot_5msexp_67 Plot Data.csv	22.99
1p6Bot_5msexp_7 Plot Data.csv	22.13
1p6Bot_5msexp_70 Plot Data.csv	24.37
1p6Bot_5msexp_79 Plot Data.csv	20.27
1p6Bot_5msexp_83 Plot Data.csv	22.02
1p6Bot_5msexp_84 Plot Data.csv	24.41
1p6Bot_5msexp_86 Plot Data.csv	22.10
1p6Bot_5msexp_9 Plot Data.csv	42.78
1p7Bot_5msexp_0 Plot Data.csv	65.51
1p7Bot_5msexp_19 Plot Data.csv	56.26
1p7Bot_5msexp_2 Plot Data.csv	53.61
1p7Bot_5msexp_21 Plot Data.csv	59.64
1p7Bot_5msexp_29 Plot Data.csv	46.32
1p7Bot_5msexp_36 Plot Data.csv	53.39
1p7Bot_5msexp_5 Plot Data.csv	58.33
1p7Bot_5msexp_50 Plot Data.csv	59.65
1p7Bot_5msexp_56 Plot Data.csv	62.71
1p7Bot_5msexp_59 Plot Data.csv	57.00
1p7Bot_5msexp_6 Plot Data.csv	62.91
1p7Bot_5msexp_60 Plot Data.csv	54.91
1p7Bot_5msexp_68 Plot Data.csv	58.43
1p7Bot_5msexp_73 Plot Data.csv	49.02
1p7Bot_5msexp_79 Plot Data.csv	57.77
1p7Bot_5msexp_81 Plot Data.csv	56.20
1p7Bot_5msexp_84 Plot Data.csv	55.87
1p7Bot_5msexp_88 Plot Data.csv	58.64
1p7Bot_5msexp_92 Plot Data.csv	52.22
1p7Bot_5msexp_95 Plot Data.csv	60.44
1p8Bot_5msexp_16 Plot Data.csv	123.59
1p8Bot_5msexp_20 Plot Data.csv	134.42
1p8Bot_5msexp_21 Plot Data.csv	131.25
1p8Bot_5msexp_22 Plot Data.csv	138.36
1p8Bot_5msexp_25 Plot Data.csv	363.68
1p8Bot_5msexp_29 Plot Data.csv	152.09
1p8Bot_5msexp_32 Plot Data.csv	113.83
1p8Bot_5msexp_37 Plot Data.csv	89.05
1p8Bot_5msexp_44 Plot Data.csv	151.07
1p8Bot_5msexp_49 Plot Data.csv	138.21
1p8Bot_5msexp_51 Plot Data.csv	147.10
1p8Bot_5msexp_52 Plot Data.csv	172.83
1p8Bot_5msexp_55 Plot Data.csv	147.42
1p8Bot_5msexp_57 Plot Data.csv	128.08
1p8Bot_5msexp_65 Plot Data.csv	147.46
1p8Bot_5msexp_67 Plot Data.csv	164.71
1p8Bot_5msexp_69 Plot Data.csv	130.29
1p8Bot_5msexp_83 Plot Data.csv	151.79
1p8Bot_5msexp_88 Plot Data.csv	132.60
1p8Bot_5msexp_93 Plot Data.csv	144.82
1p9Bot_5msexp_12 Plot Data.csv	556.00
1p9Bot_5msexp_2 Plot Data.csv	501.81
1p9Bot_5msexp_21 Plot Data.csv	421.32
1p9Bot_5msexp_25 Plot Data.csv	494.91
1p9Bot_5msexp_32 Plot Data.csv	522.11
1p9Bot_5msexp_36 Plot Data.csv	523.29
1p9Bot_5msexp_37 Plot Data.csv	402.22
1p9Bot_5msexp_39 Plot Data.csv	484.46
1p9Bot_5msexp_5 Plot Data.csv	481.00
1p9Bot_5msexp_59 Plot Data.csv	553.40
1p9Bot_5msexp_63 Plot Data.csv	467.54
1p9Bot_5msexp_65 Plot Data.csv	483.23
1p9Bot_5msexp_70 Plot Data.csv	490.37
1p9Bot_5msexp_74 Plot Data.csv	493.82
1p9Bot_5msexp_83 Plot Data.csv	420.50
1p9Bot_5msexp_86 Plot Data.csv	440.84
1p9Bot_5msexp_89 Plot Data.csv	597.73
1p9Bot_5msexp_94 Plot Data.csv	564.75
1p9Bot_5msexp_96 Plot Data.csv	411.57
1p9Bot_5msexp_98 Plot Data.csv	493.38
