Archivo	 Irregular Diferencia Integral
1p4Bot_5msexp_16 Plot Data.csv	0.0782
1p4Bot_5msexp_19 Plot Data.csv	0.2096
1p4Bot_5msexp_65 Plot Data.csv	0.3083
1p4Bot_5msexp_84 Plot Data.csv	0.4068
1p5Bot_5msexp_14 Plot Data.csv	0.1469
1p5Bot_5msexp_17 Plot Data.csv	0.1240
1p5Bot_5msexp_30 Plot Data.csv	0.2402
1p5Bot_5msexp_48 Plot Data.csv	0.3920
1p5Bot_5msexp_5 Plot Data.csv	0.3000
1p5Bot_5msexp_57 Plot Data.csv	0.1401
1p5Bot_5msexp_59 Plot Data.csv	0.1063
1p5Bot_5msexp_62 Plot Data.csv	0.1917
1p5Bot_5msexp_72 Plot Data.csv	0.6009
1p5Bot_5msexp_76 Plot Data.csv	0.1517
1p5Bot_5msexp_79 Plot Data.csv	0.6826
1p5Bot_5msexp_82 Plot Data.csv	0.1196
1p5Bot_5msexp_94 Plot Data.csv	0.0921
1p5Bot_5msexp_96 Plot Data.csv	0.4188
1p5Bot_5msexp_99 Plot Data.csv	0.0546
1p6Bot_5msexp_38 Plot Data.csv	0.0932
1p6Bot_5msexp_49 Plot Data.csv	0.1433
1p6Bot_5msexp_66 Plot Data.csv	0.1111
