Archivo	Diferencia Integral
1p4Bot_5msexp_(1)_3 Plot Data.csv	0.0288
1p4Bot_5msexp_(1)_32 Plot Data.csv	0.0927
1p4Bot_5msexp_(1)_47 Plot Data.csv	0.0455
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	0.1043
1p4Bot_5msexp_(1)_67 Plot Data.csv	0.1049
1p4Bot_5msexp_(1)_71 Plot Data.csv	0.0056
1p4Bot_5msexp_(1)_73 Plot Data.csv	0.0641
1p4Bot_5msexp_(1)_76 Plot Data.csv	0.0325
1p4Bot_5msexp_(1)_84 Plot Data.csv	0.1718
1p4Bot_5msexp_(1)_87 Plot Data.csv	0.0148
1p4Bot_5msexp_(1)_91 Plot Data.csv	0.1974
1p4Bot_5msexp_(1)_99 Plot Data.csv	0.0362
1p4Bot_5msexp_10 Plot Data.csv	0.0188
1p4Bot_5msexp_59 Plot Data.csv	0.0218
1p4Bot_5msexp_88 Plot Data.csv	0.1410
1p4Bot_5msexp_9 Plot Data.csv	0.0965
1p5Bot_5msexp_12 Plot Data.csv	0.0127
1p5Bot_5msexp_32 Plot Data.csv	0.0966
1p5Bot_5msexp_41 Plot Data.csv	0.0243
1p5Bot_5msexp_68 Plot Data.csv	0.0337
1p6Bot_5msexp_11 Plot Data.csv	0.0296
1p6Bot_5msexp_14 Plot Data.csv	0.0392
1p6Bot_5msexp_16 Plot Data.csv	0.0894
1p6Bot_5msexp_25 Plot Data.csv	0.1863
1p6Bot_5msexp_29 Plot Data.csv	0.0543
1p6Bot_5msexp_3 Plot Data.csv	0.0530
1p6Bot_5msexp_42 Plot Data.csv	0.3791
1p6Bot_5msexp_55 Plot Data.csv	0.0566
1p6Bot_5msexp_6 Plot Data.csv	0.1272
1p6Bot_5msexp_67 Plot Data.csv	0.1544
1p6Bot_5msexp_7 Plot Data.csv	0.0521
1p6Bot_5msexp_70 Plot Data.csv	0.0234
1p6Bot_5msexp_79 Plot Data.csv	0.1105
1p6Bot_5msexp_83 Plot Data.csv	0.1347
1p6Bot_5msexp_84 Plot Data.csv	0.1363
1p6Bot_5msexp_86 Plot Data.csv	0.1849
1p6Bot_5msexp_9 Plot Data.csv	0.1453
1p7Bot_5msexp_0 Plot Data.csv	0.0292
1p7Bot_5msexp_19 Plot Data.csv	0.3081
1p7Bot_5msexp_2 Plot Data.csv	0.3162
1p7Bot_5msexp_21 Plot Data.csv	0.0335
1p7Bot_5msexp_29 Plot Data.csv	0.2261
1p7Bot_5msexp_36 Plot Data.csv	0.1484
1p7Bot_5msexp_5 Plot Data.csv	0.5207
1p7Bot_5msexp_50 Plot Data.csv	0.1635
1p7Bot_5msexp_56 Plot Data.csv	0.0309
1p7Bot_5msexp_59 Plot Data.csv	0.0017
1p7Bot_5msexp_6 Plot Data.csv	0.0093
1p7Bot_5msexp_60 Plot Data.csv	0.4445
1p7Bot_5msexp_68 Plot Data.csv	0.1996
1p7Bot_5msexp_73 Plot Data.csv	0.1790
1p7Bot_5msexp_79 Plot Data.csv	0.5180
1p7Bot_5msexp_81 Plot Data.csv	0.1912
1p7Bot_5msexp_84 Plot Data.csv	0.1857
1p7Bot_5msexp_88 Plot Data.csv	0.5267
1p7Bot_5msexp_92 Plot Data.csv	0.3262
1p7Bot_5msexp_95 Plot Data.csv	0.1395
1p8Bot_5msexp_16 Plot Data.csv	0.3005
1p8Bot_5msexp_20 Plot Data.csv	0.3469
1p8Bot_5msexp_21 Plot Data.csv	0.2160
1p8Bot_5msexp_22 Plot Data.csv	0.3623
1p8Bot_5msexp_25 Plot Data.csv	0.2808
1p8Bot_5msexp_29 Plot Data.csv	0.6515
1p8Bot_5msexp_32 Plot Data.csv	0.4158
1p8Bot_5msexp_37 Plot Data.csv	0.5922
1p8Bot_5msexp_44 Plot Data.csv	0.0021
1p8Bot_5msexp_49 Plot Data.csv	0.3942
1p8Bot_5msexp_51 Plot Data.csv	0.0254
1p8Bot_5msexp_52 Plot Data.csv	0.0129
1p8Bot_5msexp_55 Plot Data.csv	0.1291
1p8Bot_5msexp_57 Plot Data.csv	0.3449
1p8Bot_5msexp_65 Plot Data.csv	0.4738
1p8Bot_5msexp_67 Plot Data.csv	0.0029
1p8Bot_5msexp_69 Plot Data.csv	0.4571
1p8Bot_5msexp_83 Plot Data.csv	0.3303
1p8Bot_5msexp_88 Plot Data.csv	0.5304
1p8Bot_5msexp_93 Plot Data.csv	0.4904
1p9Bot_5msexp_12 Plot Data.csv	0.0268
1p9Bot_5msexp_2 Plot Data.csv	0.9148
1p9Bot_5msexp_21 Plot Data.csv	1.0726
1p9Bot_5msexp_25 Plot Data.csv	0.0495
1p9Bot_5msexp_32 Plot Data.csv	0.5188
1p9Bot_5msexp_36 Plot Data.csv	0.0382
1p9Bot_5msexp_37 Plot Data.csv	0.7530
1p9Bot_5msexp_39 Plot Data.csv	0.4835
1p9Bot_5msexp_5 Plot Data.csv	0.3996
1p9Bot_5msexp_59 Plot Data.csv	0.2264
1p9Bot_5msexp_63 Plot Data.csv	0.0940
1p9Bot_5msexp_65 Plot Data.csv	0.5394
1p9Bot_5msexp_70 Plot Data.csv	0.5033
1p9Bot_5msexp_74 Plot Data.csv	0.3977
1p9Bot_5msexp_83 Plot Data.csv	1.3094
1p9Bot_5msexp_86 Plot Data.csv	0.3340
1p9Bot_5msexp_89 Plot Data.csv	0.3036
1p9Bot_5msexp_94 Plot Data.csv	0.3786
1p9Bot_5msexp_96 Plot Data.csv	1.2437
1p9Bot_5msexp_98 Plot Data.csv	0.3006
