Archivo	Pendiente del Ajuste
1p4Bot_5msexp_(1)_3 Plot Data.csv	-1.9549
1p4Bot_5msexp_(1)_32 Plot Data.csv	-3.6317
1p4Bot_5msexp_(1)_47 Plot Data.csv	-2.3379
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	-3.7717
1p4Bot_5msexp_(1)_67 Plot Data.csv	-1.7327
1p4Bot_5msexp_(1)_71 Plot Data.csv	-1.0635
1p4Bot_5msexp_(1)_73 Plot Data.csv	-4.7876
1p4Bot_5msexp_(1)_76 Plot Data.csv	-1.7543
1p4Bot_5msexp_(1)_84 Plot Data.csv	-3.5266
1p4Bot_5msexp_(1)_87 Plot Data.csv	-2.2898
1p4Bot_5msexp_(1)_91 Plot Data.csv	-2.1489
1p4Bot_5msexp_(1)_99 Plot Data.csv	-1.3933
1p4Bot_5msexp_10 Plot Data.csv	-1.0308
1p4Bot_5msexp_59 Plot Data.csv	-1.1397
1p4Bot_5msexp_88 Plot Data.csv	-2.3741
1p4Bot_5msexp_9 Plot Data.csv	-0.3255
1p5Bot_5msexp_12 Plot Data.csv	-0.8477
1p5Bot_5msexp_32 Plot Data.csv	-1.1377
1p5Bot_5msexp_41 Plot Data.csv	-0.1792
1p5Bot_5msexp_68 Plot Data.csv	-1.0920
1p6Bot_5msexp_11 Plot Data.csv	-1.6965
1p6Bot_5msexp_14 Plot Data.csv	-0.8033
1p6Bot_5msexp_16 Plot Data.csv	-1.5998
1p6Bot_5msexp_25 Plot Data.csv	-1.2455
1p6Bot_5msexp_29 Plot Data.csv	-2.2894
1p6Bot_5msexp_3 Plot Data.csv	-0.4342
1p6Bot_5msexp_42 Plot Data.csv	-2.1020
1p6Bot_5msexp_55 Plot Data.csv	-1.1347
1p6Bot_5msexp_6 Plot Data.csv	-1.4346
1p6Bot_5msexp_67 Plot Data.csv	-0.6637
1p6Bot_5msexp_7 Plot Data.csv	-1.5397
1p6Bot_5msexp_70 Plot Data.csv	-0.8095
1p6Bot_5msexp_79 Plot Data.csv	-1.3184
1p6Bot_5msexp_83 Plot Data.csv	-0.9703
1p6Bot_5msexp_84 Plot Data.csv	-0.7296
1p6Bot_5msexp_86 Plot Data.csv	-1.2160
1p6Bot_5msexp_9 Plot Data.csv	-2.2162
1p7Bot_5msexp_0 Plot Data.csv	-2.5511
1p7Bot_5msexp_19 Plot Data.csv	-4.8530
