Archivo	Anchura del Ajuste
1p4Bot_5msexp_(1)_3 Plot Data.csv	24
1p4Bot_5msexp_(1)_32 Plot Data.csv	22
1p4Bot_5msexp_(1)_47 Plot Data.csv	30
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	30
1p4Bot_5msexp_(1)_67 Plot Data.csv	27
1p4Bot_5msexp_(1)_71 Plot Data.csv	26
1p4Bot_5msexp_(1)_73 Plot Data.csv	28
1p4Bot_5msexp_(1)_76 Plot Data.csv	31
1p4Bot_5msexp_(1)_84 Plot Data.csv	23
1p4Bot_5msexp_(1)_87 Plot Data.csv	26
1p4Bot_5msexp_(1)_91 Plot Data.csv	24
1p4Bot_5msexp_(1)_99 Plot Data.csv	15
1p4Bot_5msexp_10 Plot Data.csv	33
1p4Bot_5msexp_59 Plot Data.csv	28
1p4Bot_5msexp_88 Plot Data.csv	31
1p4Bot_5msexp_9 Plot Data.csv	33
1p5Bot_5msexp_12 Plot Data.csv	40
1p5Bot_5msexp_32 Plot Data.csv	37
1p5Bot_5msexp_41 Plot Data.csv	28
1p5Bot_5msexp_68 Plot Data.csv	39
1p6Bot_5msexp_11 Plot Data.csv	38
1p6Bot_5msexp_14 Plot Data.csv	40
1p6Bot_5msexp_16 Plot Data.csv	39
1p6Bot_5msexp_25 Plot Data.csv	36
1p6Bot_5msexp_29 Plot Data.csv	26
1p6Bot_5msexp_3 Plot Data.csv	41
1p6Bot_5msexp_42 Plot Data.csv	31
1p6Bot_5msexp_55 Plot Data.csv	44
1p6Bot_5msexp_6 Plot Data.csv	31
1p6Bot_5msexp_67 Plot Data.csv	45
1p6Bot_5msexp_7 Plot Data.csv	34
1p6Bot_5msexp_70 Plot Data.csv	44
1p6Bot_5msexp_79 Plot Data.csv	34
1p6Bot_5msexp_83 Plot Data.csv	36
1p6Bot_5msexp_84 Plot Data.csv	42
1p6Bot_5msexp_86 Plot Data.csv	41
1p6Bot_5msexp_9 Plot Data.csv	44
1p7Bot_5msexp_0 Plot Data.csv	39
1p7Bot_5msexp_19 Plot Data.csv	35
1p7Bot_5msexp_2 Plot Data.csv	32
1p7Bot_5msexp_21 Plot Data.csv	36
1p7Bot_5msexp_29 Plot Data.csv	29
1p7Bot_5msexp_36 Plot Data.csv	35
1p7Bot_5msexp_5 Plot Data.csv	34
1p7Bot_5msexp_50 Plot Data.csv	43
1p7Bot_5msexp_56 Plot Data.csv	39
1p7Bot_5msexp_59 Plot Data.csv	35
1p7Bot_5msexp_6 Plot Data.csv	38
1p7Bot_5msexp_60 Plot Data.csv	29
1p7Bot_5msexp_68 Plot Data.csv	41
1p7Bot_5msexp_73 Plot Data.csv	27
1p7Bot_5msexp_79 Plot Data.csv	34
1p7Bot_5msexp_81 Plot Data.csv	40
1p7Bot_5msexp_84 Plot Data.csv	30
1p7Bot_5msexp_88 Plot Data.csv	34
1p7Bot_5msexp_92 Plot Data.csv	31
1p7Bot_5msexp_95 Plot Data.csv	36
1p8Bot_5msexp_16 Plot Data.csv	30
1p8Bot_5msexp_20 Plot Data.csv	35
1p8Bot_5msexp_21 Plot Data.csv	33
1p8Bot_5msexp_22 Plot Data.csv	35
1p8Bot_5msexp_25 Plot Data.csv	32
1p8Bot_5msexp_29 Plot Data.csv	34
1p8Bot_5msexp_32 Plot Data.csv	28
1p8Bot_5msexp_37 Plot Data.csv	24
1p8Bot_5msexp_44 Plot Data.csv	38
1p8Bot_5msexp_49 Plot Data.csv	39
1p8Bot_5msexp_51 Plot Data.csv	38
1p8Bot_5msexp_52 Plot Data.csv	41
1p8Bot_5msexp_55 Plot Data.csv	38
1p8Bot_5msexp_57 Plot Data.csv	33
1p8Bot_5msexp_65 Plot Data.csv	33
1p8Bot_5msexp_67 Plot Data.csv	41
1p8Bot_5msexp_69 Plot Data.csv	34
1p8Bot_5msexp_83 Plot Data.csv	33
1p8Bot_5msexp_88 Plot Data.csv	32
1p8Bot_5msexp_93 Plot Data.csv	34
1p9Bot_5msexp_12 Plot Data.csv	38
1p9Bot_5msexp_2 Plot Data.csv	23
1p9Bot_5msexp_21 Plot Data.csv	25
1p9Bot_5msexp_25 Plot Data.csv	31
1p9Bot_5msexp_32 Plot Data.csv	35
1p9Bot_5msexp_36 Plot Data.csv	42
1p9Bot_5msexp_37 Plot Data.csv	27
1p9Bot_5msexp_39 Plot Data.csv	31
1p9Bot_5msexp_5 Plot Data.csv	33
1p9Bot_5msexp_59 Plot Data.csv	35
1p9Bot_5msexp_63 Plot Data.csv	26
1p9Bot_5msexp_65 Plot Data.csv	31
1p9Bot_5msexp_70 Plot Data.csv	34
1p9Bot_5msexp_74 Plot Data.csv	36
1p9Bot_5msexp_83 Plot Data.csv	22
1p9Bot_5msexp_86 Plot Data.csv	32
1p9Bot_5msexp_89 Plot Data.csv	31
1p9Bot_5msexp_94 Plot Data.csv	36
1p9Bot_5msexp_96 Plot Data.csv	25
1p9Bot_5msexp_98 Plot Data.csv	36
