Archivo	Chi Cuadrado Irregular
1p4Bot_5msexp_16 Plot Data.csv	3.8150
1p4Bot_5msexp_19 Plot Data.csv	4.6583
1p4Bot_5msexp_65 Plot Data.csv	2.5781
1p4Bot_5msexp_84 Plot Data.csv	10.6013
1p5Bot_5msexp_14 Plot Data.csv	22.3256
1p5Bot_5msexp_17 Plot Data.csv	6.5339
1p5Bot_5msexp_30 Plot Data.csv	9.2040
1p5Bot_5msexp_48 Plot Data.csv	7.9201
1p5Bot_5msexp_5 Plot Data.csv	6.7546
1p5Bot_5msexp_57 Plot Data.csv	4.1131
1p5Bot_5msexp_59 Plot Data.csv	4.6242
1p5Bot_5msexp_62 Plot Data.csv	8.2486
1p5Bot_5msexp_72 Plot Data.csv	28.5856
1p5Bot_5msexp_76 Plot Data.csv	8.0236
1p5Bot_5msexp_79 Plot Data.csv	26.2472
1p5Bot_5msexp_82 Plot Data.csv	8.8221
1p5Bot_5msexp_94 Plot Data.csv	5.9065
1p5Bot_5msexp_96 Plot Data.csv	6.5137
1p5Bot_5msexp_99 Plot Data.csv	7.9213
1p6Bot_5msexp_38 Plot Data.csv	16.3592
1p6Bot_5msexp_49 Plot Data.csv	15.4883
1p6Bot_5msexp_66 Plot Data.csv	9.6245
