Archivo	Chi Cuadrado
1p4Bot_5msexp_(1)_3 Plot Data.csv	3.5525
1p4Bot_5msexp_(1)_32 Plot Data.csv	9.4973
1p4Bot_5msexp_(1)_47 Plot Data.csv	17.2449
1p4Bot_5msexp_(1)_47_(1) Plot Data.csv	85.6246
1p4Bot_5msexp_(1)_67 Plot Data.csv	4.0405
1p4Bot_5msexp_(1)_71 Plot Data.csv	4.2108
1p4Bot_5msexp_(1)_73 Plot Data.csv	4.8370
1p4Bot_5msexp_(1)_76 Plot Data.csv	11.0382
1p4Bot_5msexp_(1)_84 Plot Data.csv	12.0990
1p4Bot_5msexp_(1)_87 Plot Data.csv	13.1624
1p4Bot_5msexp_(1)_91 Plot Data.csv	17.2426
1p4Bot_5msexp_(1)_99 Plot Data.csv	6.5481
1p4Bot_5msexp_10 Plot Data.csv	36.4694
1p4Bot_5msexp_59 Plot Data.csv	4.1608
1p4Bot_5msexp_88 Plot Data.csv	167.1191
1p4Bot_5msexp_9 Plot Data.csv	7.9290
1p5Bot_5msexp_12 Plot Data.csv	5.4910
1p5Bot_5msexp_32 Plot Data.csv	6.5726
1p5Bot_5msexp_41 Plot Data.csv	9.9103
1p5Bot_5msexp_68 Plot Data.csv	4.5174
1p6Bot_5msexp_11 Plot Data.csv	7.5678
1p6Bot_5msexp_14 Plot Data.csv	9.8279
1p6Bot_5msexp_16 Plot Data.csv	3.9471
1p6Bot_5msexp_25 Plot Data.csv	11.0247
1p6Bot_5msexp_29 Plot Data.csv	8.9186
1p6Bot_5msexp_3 Plot Data.csv	9.5738
1p6Bot_5msexp_42 Plot Data.csv	32.1437
1p6Bot_5msexp_55 Plot Data.csv	16.1863
1p6Bot_5msexp_6 Plot Data.csv	10.8026
1p6Bot_5msexp_67 Plot Data.csv	9.0023
1p6Bot_5msexp_7 Plot Data.csv	5.7583
1p6Bot_5msexp_70 Plot Data.csv	3.2974
1p6Bot_5msexp_79 Plot Data.csv	9.3876
1p6Bot_5msexp_83 Plot Data.csv	8.8661
1p6Bot_5msexp_84 Plot Data.csv	11.8343
1p6Bot_5msexp_86 Plot Data.csv	8.4393
1p6Bot_5msexp_9 Plot Data.csv	23.0771
1p7Bot_5msexp_0 Plot Data.csv	21.4110
1p7Bot_5msexp_19 Plot Data.csv	69.4527
1p7Bot_5msexp_2 Plot Data.csv	58.9654
1p7Bot_5msexp_21 Plot Data.csv	9.6254
1p7Bot_5msexp_29 Plot Data.csv	35.5176
1p7Bot_5msexp_36 Plot Data.csv	22.7765
1p7Bot_5msexp_5 Plot Data.csv	116.4247
1p7Bot_5msexp_50 Plot Data.csv	29.4529
1p7Bot_5msexp_56 Plot Data.csv	19.4739
1p7Bot_5msexp_59 Plot Data.csv	22.5641
1p7Bot_5msexp_6 Plot Data.csv	8.8848
1p7Bot_5msexp_60 Plot Data.csv	86.7502
1p7Bot_5msexp_68 Plot Data.csv	49.9523
1p7Bot_5msexp_73 Plot Data.csv	44.0162
1p7Bot_5msexp_79 Plot Data.csv	95.1830
1p7Bot_5msexp_81 Plot Data.csv	21.1726
1p7Bot_5msexp_84 Plot Data.csv	33.1742
1p7Bot_5msexp_88 Plot Data.csv	89.3902
1p7Bot_5msexp_92 Plot Data.csv	43.5152
1p7Bot_5msexp_95 Plot Data.csv	27.8032
1p8Bot_5msexp_16 Plot Data.csv	131.3899
1p8Bot_5msexp_20 Plot Data.csv	116.4421
1p8Bot_5msexp_21 Plot Data.csv	65.8809
1p8Bot_5msexp_22 Plot Data.csv	121.8357
1p8Bot_5msexp_25 Plot Data.csv	354.9562
1p8Bot_5msexp_29 Plot Data.csv	355.6268
1p8Bot_5msexp_32 Plot Data.csv	228.8551
1p8Bot_5msexp_37 Plot Data.csv	388.0914
1p8Bot_5msexp_44 Plot Data.csv	14.2426
1p8Bot_5msexp_49 Plot Data.csv	174.4246
1p8Bot_5msexp_51 Plot Data.csv	31.6333
1p8Bot_5msexp_52 Plot Data.csv	57.1023
1p8Bot_5msexp_55 Plot Data.csv	67.7932
1p8Bot_5msexp_57 Plot Data.csv	119.0407
1p8Bot_5msexp_65 Plot Data.csv	198.8856
1p8Bot_5msexp_67 Plot Data.csv	74.8216
1p8Bot_5msexp_69 Plot Data.csv	172.7285
1p8Bot_5msexp_83 Plot Data.csv	149.5392
1p8Bot_5msexp_88 Plot Data.csv	215.8798
1p8Bot_5msexp_93 Plot Data.csv	250.2750
1p9Bot_5msexp_12 Plot Data.csv	125.6023
1p9Bot_5msexp_2 Plot Data.csv	4137.4050
1p9Bot_5msexp_21 Plot Data.csv	4773.2142
1p9Bot_5msexp_25 Plot Data.csv	223.5175
1p9Bot_5msexp_32 Plot Data.csv	863.9965
1p9Bot_5msexp_36 Plot Data.csv	43.4445
1p9Bot_5msexp_37 Plot Data.csv	2102.2571
1p9Bot_5msexp_39 Plot Data.csv	845.8091
1p9Bot_5msexp_5 Plot Data.csv	586.7979
1p9Bot_5msexp_59 Plot Data.csv	335.6104
1p9Bot_5msexp_63 Plot Data.csv	69.0338
1p9Bot_5msexp_65 Plot Data.csv	947.9523
1p9Bot_5msexp_70 Plot Data.csv	806.1937
1p9Bot_5msexp_74 Plot Data.csv	460.0102
1p9Bot_5msexp_83 Plot Data.csv	11026.8190
1p9Bot_5msexp_86 Plot Data.csv	377.1329
1p9Bot_5msexp_89 Plot Data.csv	455.0764
1p9Bot_5msexp_94 Plot Data.csv	564.5877
1p9Bot_5msexp_96 Plot Data.csv	6941.6693
1p9Bot_5msexp_98 Plot Data.csv	415.6338
